Player Name,Player Jersey Number,Player Position,Player Age,Player Weight (lbs.),Years Played,"Player Birthplace (city, town, etc.)",Player Birth State,Player Birthplace (Combo),Player College,Player Team,Conference,2016 Population Estimates (except where otherwise noted),State GEO ID,Full GEOID,Latitude (player birthplace),Longitude (player birthplace),Number from City,Number of Records,American FactFinder Link for more Census data points,Quickfacts Link,State Data Link,Source (Population States 2017),"Birthplace, Population Data Source"
James Harrison,#92,LB/RDE,39.0,242.0,15,Akron,Ohio,"Akron, Ohio",Kent State,New England,AFC,"1,97,633",39.0,0400000US39,41.083064,-81.518485,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Akron city, Ohio/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/AkroncityOhio,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Ohio/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Malcolm Mitchell,#19,WR,24.0,200.0,2,Valdosta,Georgia,"Valdosta, Georgia",Georgia,New England,AFC,"56,474",13.0,0400000US13,30.832702,-83.278485,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Valdosta city, Georgia/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/ValdostacityGeorgia,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Georgia/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Shaq Mason,#69,C/ROG,24.0,310.0,3,Columbia,Tennessee,"Columbia, Tennessee",Georgia Tech,New England,AFC,"37,540",47.0,0400000US47,35.615072,-87.035283,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Columbia city, Tennessee/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/ColumbiacityTennessee,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Tennessee/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Eric Rowe,#25,CB/RCB,25.0,205.0,3,Cleveland,Ohio,"Cleveland, Ohio",Utah,New England,AFC,"3,85,809",39.0,0400000US39,41.505161,-81.693445,3,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Cleveland city, Ohio/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/ClevelandcityOhio,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Ohio/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Duron Harmon,#30,S/FS,26.0,205.0,5,Magnolia,Delaware,"Magnolia, Delaware",Rutgers,New England,AFC,235,10.0,0400000US10,39.071799,-75.475577,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Magnolia town, Delaware/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/MagnoliacityDelaware,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Delaware/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Stephon Gilmore,#24,CB/RCB,27.0,190.0,6,Rock Hill,South Carolina,"Rock Hill, South Carolina",South Carolina,New England,AFC,"72,937",45.0,0400000US45,34.924867,-81.025078,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Rock Hill city, South Carolina/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/RockHillcitySouthCarolina,https://factfinder.census.gov/bkmk/cf/1.0/en/state/South Carolina/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Stephen Gostkowski,#3,K/KFG/KKO,33.0,215.0,12,Madison,Mississippi,"Madison, Mississippi",Memphis,New England,AFC,"26,031",28.0,0400000US28,32.630868,-90.004082,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Madison city, Mississippi/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/MadisoncityMississippi,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Mississippi/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Malcom Brown,#90,DT/RDT,23.0,320.0,3,Brenham,Texas,"Brenham, Texas",Texas,New England,AFC,"16,989",48.0,0400000US48,30.166883,-96.397744,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Brenham city, Texas/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/BrenhamcityTexas,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Texas/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Trey Flowers,#98,DE/RDE,24.0,265.0,3,Huntsville,Alabama,"Huntsville, Alabama",Arkansas,New England,AFC,"1,93,079",1.0,0400000US01,34.677972,-86.455462,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Huntsville city, Alabama/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/HuntsvillecityAlabama,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Alabama/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
Brandon King,#36,S/FS/SPTM,24.0,220.0,3,Alabaster,Alabama,"Alabaster, Alabama",Auburn,New England,AFC,"32,948",1.0,0400000US01,33.244281,-86.816377,1,1,"https://factfinder.census.gov/bkmk/cf/1.0/en/place/Alabaster city, Alabama/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau",https://www.census.gov/quickfacts/fact/table/AlabastercityAlabama,https://factfinder.census.gov/bkmk/cf/1.0/en/state/Alabama/ALL?utm_campaign=20180129dvz&utm_medium=viz&utm_source=tableau,"U.S. Census Bureau, 2017 Annual Estimates of the Resident Population","U.S. Census Bureau, 2016 Annual Estimates of the Resident Population"
